45561,46617,384.902071575,53.097928425
45518,46210,392.4153305,52.5846695
45901,46052,367.1541787,52.8458213
45182,46232,424.7786444,52.2213556
45548,46587,421.9513831,53.0486169
45537,45773,421.890872475,52.109127525
45220,46639,440.2746105,52.7253895
45800,45955,425.381525,52.618475
45672,46459,422.9531138,53.0468862
45834,46160,395.107564,52.892436
45472,46277,404.3923064,52.6076936
45715,46095,435.319176875,52.680823125
45609,45808,400.7685732,52.2314268
45750,46150,407.2159375,52.7840625
45588,46325,400.2033975,52.7966025
45444,45940,402.807566,52.192434
45756,46072,431.2982392,52.7017608
45281,46194,398.70723715,52.29276285
46090,46565,453.34547875,53.65452125
45578,45719,402.90548545,52.09451455
45857,46296,432.9251082,53.0748918
45583,46215,394.334541375,52.665458625
45844,46429,431.7877231,53.2122769
45662,46672,406.7215784,53.2784216
45577,46279,427.268550425,52.731449575
